ID;code;name
00000000-0000-0000-0000-000000000001;USA;United States
00000000-0000-0000-0000-000000000002;CAN;Canada
00000000-0000-0000-0000-000000000003;DEU;Germany
00000000-0000-0000-0000-000000000004;PRT;Portugal
00000000-0000-0000-0000-000000000005;BEL;Belgium
00000000-0000-0000-0000-000000000006;FRA;France
00000000-0000-0000-0000-000000000007;GBR;United Kingdom
00000000-0000-0000-0000-000000000008;BRA;Brazil
00000000-0000-0000-0000-000000000009;SWE;Sweden
00000000-0000-0000-0000-000000000010;NLD;Netherlands
00000000-0000-0000-0000-000000000011;LUX;Luxembourg
